,date,Open,High,Low,Close,Adj Close,Volume,Pct_change,username,tweet,tweet_lc,tweet_without_stopwords,ts_polarity,subjetividade,analise,tokenized_text,text_lemmatized,media_pol,media_sub,ts_volume
0,2020-01-03,118564.0,118792.0,117341.0,117707.0,117707.0,6834500,-0.007303517664223769,canalsaude,Pesquisa irá atualizar a situação da saúde bucal dos brasileiros. Já está aberta a consulta pública que definirá a metodologia do levantamento de saúde bucal. A população pode enviar as contribuições até 17 de janeiro   ,pesquisa irá atualizar a situação da saúde bucal dos brasileiros. já está aberta a consulta pública que definirá a metodologia do levantamento de saúde bucal. a população pode enviar as contribuições até 17 de janeiro   ,pesquisa irá atualizar  situação  saúde bucal  brasileiros.   aberta  consulta pública  definirá  metodologia  levantamento  saúde bucal.  população pode enviar  contribuições  17  janeiro   ,0.0,0.2833333333333333,Neutro,"['pesquisa', 'irá', 'atualizar', 'situação', 'saúde', 'bucal', 'brasileiros', '.', 'aberta', 'consulta', 'pública', 'definirá', 'metodologia', 'levantamento', 'saúde', 'bucal', '.', 'população', 'pode', 'enviar', 'contribuições', '17', 'janeiro']","['pesquisa', 'irá', 'atualizar', 'situação', 'saúde', 'bucal', 'brasileiros', '.', 'aberta', 'consulta', 'pública', 'definirá', 'metodologia', 'levantamento', 'saúde', 'bucal', '.', 'população', 'pode', 'enviar', 'contribuições', '17', 'janeiro']",0.0,0.2833333333333333,1.0
1,2020-01-06,117707.0,117707.0,116269.0,116878.0,116878.0,6570000,-0.007042911636521154,,,,,,,,,,,,
2,2020-01-07,116872.0,117076.0,115965.0,116662.0,116662.0,4854100,-0.0018480809048752045,minsaude,"➕ abriu chamada pública para seleção de projetos de pesquisa para o combate à tuberculose no âmbito dos BRICS (Brasil, Rússia, Índia, China e África do Sul).   ✅A ideia é apoiar projetos e pesquisas com inovação na área. Participe!    ","➕ abriu chamada pública para seleção de projetos de pesquisa para o combate à tuberculose no âmbito dos brics (brasil, rússia, índia, china e áfrica do sul).   ✅a ideia é apoiar projetos e pesquisas com inovação na área. participe!    ","➕ abriu chamada pública  seleção  projetos  pesquisa   combate  tuberculose  âmbito  brics (brasil, rússia, índia, china  áfrica  sul).   ✅ ideia  apoiar projetos  pesquisas  inovação  área. participe!    ",0.0,0.2833333333333333,Neutro,"['➕', 'abriu', 'chamada', 'pública', 'seleção', 'projetos', 'pesquisa', 'combate', 'tuberculose', 'âmbito', 'brics', '(', 'brasil', ',', 'rússia', ',', 'índia', ',', 'china', 'áfrica', 'sul', ')', '.', '✅', 'ideia', 'apoiar', 'projetos', 'pesquisas', 'inovação', 'área', '.', 'participe', '!']","['➕', 'abriu', 'chamada', 'pública', 'seleção', 'projetos', 'pesquisa', 'combate', 'tuberculose', 'âmbito', 'brics', '(', 'brasil', ',', 'rússia', ',', 'índia', ',', 'china', 'áfrica', 'sul', ')', '.', '✅', 'ideia', 'apoiar', 'projetos', 'pesquisas', 'inovação', 'área', '.', 'participe', '!']",0.0,0.2833333333333333,2.0
3,2020-01-08,116667.0,117335.0,115693.0,116247.0,116247.0,5910500,-0.0035572851485488055,minsaude,"Mais uma pesquisa do !  ↪️Ministério da Saúde quer conhecer o perfil de saúde dos brasileiros. É o início da pesquisa Vigitel 2020, realizada todos os anos pelo . Expectativa é ouvir cerca de 27 mil pessoas somente no primeiro semestre.    ","mais uma pesquisa do !  ↪️ministério da saúde quer conhecer o perfil de saúde dos brasileiros. é o início da pesquisa vigitel 2020, realizada todos os anos pelo . expectativa é ouvir cerca de 27 mil pessoas somente no primeiro semestre.    ","  pesquisa  !  ↪️ministério  saúde quer conhecer  perfil  saúde  brasileiros.   início  pesquisa vigitel 2020, realizada todos  anos  . expectativa  ouvir cerca  27 mil pessoas somente  primeiro semestre.    ",0.0708333333333333,0.4,Positivo,"['pesquisa', '!', '↪️ministério', 'saúde', 'quer', 'conhecer', 'perfil', 'saúde', 'brasileiros', '.', 'início', 'pesquisa', 'vigitel', '2020', ',', 'realizada', 'todos', 'anos', '.', 'expectativa', 'ouvir', 'cerca', '27', 'mil', 'pessoas', 'somente', 'primeiro', 'semestre', '.']","['pesquisa', '!', '↪️ministério', 'saúde', 'quer', 'conhecer', 'perfil', 'saúde', 'brasileiros', '.', 'início', 'pesquisa', 'vigitel', '2020', ',', 'realizada', 'todos', 'ano', '.', 'expectativa', 'ouvir', 'cerca', '27', 'mil', 'pessoas', 'somente', 'primeiro', 'semestre', '.']",0.0472222222222222,0.2666666666666666,3.0
4,2020-01-08,116667.0,117335.0,115693.0,116247.0,116247.0,5910500,-0.0035572851485488055,conassoficial,Pesquisa aponta IMC como indicador estratégico contra a obesidade    ,pesquisa aponta imc como indicador estratégico contra a obesidade    ,pesquisa aponta imc  indicador estratégico contra  obesidade    ,0.0,0.0,Neutro,"['pesquisa', 'aponta', 'imc', 'indicador', 'estratégico', 'contra', 'obesidade']","['pesquisa', 'aponta', 'imc', 'indicador', 'estratégico', 'contra', 'obesidade']",0.0472222222222222,0.2666666666666666,3.0
5,2020-01-09,116248.0,116820.0,115411.0,115947.0,115947.0,5953500,-0.0025807117603035,agencia_fiocruz,"Em comemoração ao Dia Internacional de Mulheres e Meninas na Ciência, a  abrirá as portas para que alunas do ensino médio da rede pública do estado do Rio conheçam laboratórios e setores de pesquisa, por meio da atividade Mais Meninas na Ciência    ","em comemoração ao dia internacional de mulheres e meninas na ciência, a  abrirá as portas para que alunas do ensino médio da rede pública do estado do rio conheçam laboratórios e setores de pesquisa, por meio da atividade mais meninas na ciência    "," comemoração  dia internacional  mulheres  meninas  ciência,   abrirá  portas   alunas  ensino médio  rede pública  estado  rio conheçam laboratórios  setores  pesquisa,  meio  atividade  meninas  ciência    ",0.04,0.2766666666666667,Positivo,"['comemoração', 'dia', 'internacional', 'mulheres', 'meninas', 'ciência', ',', 'abrirá', 'portas', 'alunas', 'ensino', 'médio', 'rede', 'pública', 'estado', 'rio', 'conheçam', 'laboratórios', 'setores', 'pesquisa', ',', 'meio', 'atividade', 'meninas', 'ciência']","['comemoração', 'dia', 'internacional', 'mulheres', 'meninas', 'ciência', ',', 'abrirá', 'porta', 'alunas', 'ensino', 'médio', 'rede', 'pública', 'estado', 'rio', 'conheçam', 'laboratórios', 'setores', 'pesquisa', ',', 'meio', 'atividade', 'meninas', 'ciência']",0.02,0.1383333333333333,2.0
6,2020-01-09,116248.0,116820.0,115411.0,115947.0,115947.0,5953500,-0.0025807117603035,conassoficial,Começa pesquisa para saber como anda a saúde dos brasileiros  ,começa pesquisa para saber como anda a saúde dos brasileiros  ,começa pesquisa  saber  anda  saúde  brasileiros  ,0.0,0.0,Neutro,"['começa', 'pesquisa', 'saber', 'anda', 'saúde', 'brasileiros']","['começa', 'pesquisa', 'saber', 'anda', 'saúde', 'brasileiros']",0.02,0.1383333333333333,2.0
7,2020-01-09,116248.0,116820.0,115411.0,115947.0,115947.0,5953500,-0.0025807117603035,butantanoficial,"Até o dia 25 de janeiro, os visitantes do Butantan poderão conhecer o universo da biologia visto pela lente do microscópio.🔬 Na exposição Amplifique!, uma série fotográfica celebra os laços entre pesquisa, conhecimento e arte.  ","até o dia 25 de janeiro, os visitantes do butantan poderão conhecer o universo da biologia visto pela lente do microscópio.🔬 na exposição amplifique!, uma série fotográfica celebra os laços entre pesquisa, conhecimento e arte.  ","  dia 25  janeiro,  visitantes  butantan poderão conhecer  universo  biologia visto  lente  microscópio.🔬  exposição amplifique!,  série fotográfica celebra  laços  pesquisa, conhecimento  arte.  ",0.625,0.625,Positivo,"['dia', '25', 'janeiro', ',', 'visitantes', 'butantan', 'poderão', 'conhecer', 'universo', 'biologia', 'visto', 'lente', 'microscópio.🔬', 'exposição', 'amplifique', '!', ',', 'série', 'fotográfica', 'celebra', 'laços', 'pesquisa', ',', 'conhecimento', 'arte', '.']","['dia', '25', 'janeiro', ',', 'visitantes', 'butantan', 'poderão', 'conhecer', 'universo', 'biologia', 'visto', 'lente', 'microscópio.🔬', 'exposição', 'amplifique', '!', ',', 'série', 'fotográfica', 'celebra', 'laços', 'pesquisa', ',', 'conhecimento', 'arte', '.']",0.625,0.625,1.0
8,2020-01-10,115948.0,116745.0,114952.0,115503.0,115503.0,4783400,-0.0038293358172268865,agencia_fiocruz,"Coordenada pelo , Rede de Pesquisa Clínica Aplicada a Chikungunya discute os desafios do combate à doença no Brasil    ","coordenada pelo , rede de pesquisa clínica aplicada a chikungunya discute os desafios do combate à doença no brasil    ","coordenada  , rede  pesquisa clínica aplicada  chikungunya discute  desafios  combate  doença  brasil    ",0.0,0.0,Neutro,"['coordenada', ',', 'rede', 'pesquisa', 'clínica', 'aplicada', 'chikungunya', 'discute', 'desafios', 'combate', 'doença', 'brasil']","['coordenada', ',', 'rede', 'pesquisa', 'clínica', 'aplicada', 'chikungunya', 'discute', 'desafios', 'combate', 'doença', 'brasil']",0.0,0.0266666666666666,5.0
9,2020-01-10,115948.0,116745.0,114952.0,115503.0,115503.0,4783400,-0.0038293358172268865,minsaude,"Vigitel2020 | Desde 2006, a pesquisa Vigitel monitora a frequência e a distribuição de fatores de risco para o surgimento de doenças através de um questionário, respondido por telefone, sobre itens como hábitos alimentares, entre outros. Entenda:    ","vigitel2020 | desde 2006, a pesquisa vigitel monitora a frequência e a distribuição de fatores de risco para o surgimento de doenças através de um questionário, respondido por telefone, sobre itens como hábitos alimentares, entre outros. entenda:    ","vigitel2020 | desde 2006,  pesquisa vigitel monitora  frequência   distribuição  fatores  risco   surgimento  doenças através   questionário, respondido  telefone, sobre itens  hábitos alimentares,  outros. entenda:    ",0.0,0.0,Neutro,"['vigitel2020', '|', 'desde', '2006', ',', 'pesquisa', 'vigitel', 'monitora', 'frequência', 'distribuição', 'fatores', 'risco', 'surgimento', 'doenças', 'através', 'questionário', ',', 'respondido', 'telefone', ',', 'sobre', 'itens', 'hábitos', 'alimentares', ',', 'outros', '.', 'entenda', ':']","['vigitel2020', '|', 'desde', '2006', ',', 'pesquisa', 'vigitel', 'monitora', 'frequência', 'distribuição', 'fatores', 'risco', 'surgimento', 'doenças', 'através', 'questionário', ',', 'respondido', 'telefone', ',', 'sobre', 'itens', 'hábitos', 'alimentares', ',', 'outros', '.', 'entenda', ':']",0.0,0.0266666666666666,5.0
